Goal;Target;Indicator;SeriesCode;SeriesDescription;GeoAreaCode;GeoAreaName;Reporting Type;Units;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);44;Bahamas;G;PERCENT;0;0.42;0.38;1.54;1.59;1.71;2.01;3.54;1.97;1.53;1.3;1.44;1.41;1.42;1.37;1.38;1.25;1.11;1.12;1.09;1.44;1.11;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);48;Bahrain;G;PERCENT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;0.02;0.02;0.02;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);50;Bangladesh;G;PERCENT;60.18;55.93;54.44;52.59;52.01;50.61;48.65;47.16;45.16;43.07;40.28;38.41;37.33;37;35.39;33.09;30.23;28.1;27.04;26.09;27.24;25.04;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);52;Barbados;G;PERCENT;11.87;10.81;9.78;8.62;8.66;8.69;8.82;8.56;7.63;8.46;8.21;4.14;3.82;3.13;2.99;3.01;2.84;4.35;4.89;3.44;4.7;5.46;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);112;Belarus;G;PERCENT;5.65;6.26;6.52;6.25;6.27;6.83;7.2;7.28;7.08;7.39;7.29;7.52;7.24;6.97;6.69;6.82;6.72;7.28;7.21;7.81;8.39;8.22;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);56;Belgium;G;PERCENT;1.44;1.58;1.68;1.89;2.05;2.48;2.88;3.43;3.98;4.92;6.24;6.69;7.68;8.26;9.13;9.4;9.2;9.66;10.65;10.23;12.31;11.68;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);84;Belize;G;PERCENT;34.55;23.91;25.66;24.37;26.29;25.64;32.74;28.03;29.82;25.15;29.43;42.18;47.91;37.95;37.43;30.32;33.27;37.24;35.53;30.43;31.4;26.56;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);204;Benin;G;PERCENT;70.29;66.86;64.04;61.73;60.69;59.2;57.31;54.49;54.76;52.83;47.19;48.7;50.33;51.97;51.05;49.94;45.42;45.38;43.97;46.47;46.2;54.52;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);60;Bermuda;G;PERCENT;0.46;0.54;0.51;0.51;0.52;0.49;0.44;0.5;0.46;0.43;0.43;0.42;0.44;1.47;0.43;0.55;1.09;0.63;0.68;0.77;0.91;0.9;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);64;Bhutan;G;PERCENT;91.4;90.18;89.68;89.65;90.91;88.66;91.6;91.98;87.77;87.75;84.76;84.86;82.81;81.73;82.14;81.58;80.79;79.65;80.02;80.98;83.91;81.81;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);68;Bolivia (Plurinational State of);G;PERCENT;29.17;28.99;28.13;27.01;25.8;24.65;23.7;22.07;21.3;20.62;19.93;18.1;17.36;16.02;15.03;14.22;13.62;14.29;14.33;13.52;16.87;12.76;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);535;Bonaire, Sint Eustatius and Saba;G;PERCENT;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;11.92;13.38;14.3;13.65;12.33;11.22;14.16;12.41;10.37;11.51;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);70;Bosnia and Herzegovina;G;PERCENT;19.35;20.27;21.21;20.14;20.1;19.73;18.12;14.84;14.28;17.43;19.57;14.16;15.28;19.48;23.65;25.25;23;18.49;35.36;36.84;37.71;36.61;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);72;Botswana;G;PERCENT;38.46;37.51;36.13;36.21;34.34;33;31.77;29.04;27.79;28.89;29.87;28.91;27.76;26.71;25.84;26.11;26.7;26.68;25.62;26.25;27.69;27.36;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);76;Brazil;G;PERCENT;42.67;41.34;42.87;45.13;45.2;46.15;46.7;47.22;47.04;48.92;46.8;45.25;43.46;42.3;41.74;43.66;45.42;45.26;46.88;47.52;50;46.48;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);92;British Virgin Islands;G;PERCENT;0.87;0.86;0.84;0.79;0.77;0.76;0.72;0.71;0.71;0.73;0.71;0.9;0.91;0.98;1.02;1.01;1.01;1.15;1.24;1.16;1.32;1.31;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);96;Brunei Darussalam;G;PERCENT;0;0;0;0;0;0;0;0;0;0;0;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.03;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);100;Bulgaria;G;PERCENT;7.97;7.24;8.7;9.16;9.55;9.83;9.96;8.85;9.94;11.62;14.27;13.22;15.61;18.25;17.15;17.85;17.71;17.11;19.59;19.3;21.1;20.38;;;;;;;;;;;;;;;;;;;;;
7;7.2;7.2.1;EG_FEC_RNEW;Renewable energy share in the total final energy consumption (%);854;Burkina Faso;G;PERCENT;83.9;81.66;81.85;80.82;81.98;85.45;84.85;82.93;83.49;83.31;82.06;81.39;79.17;78.72;78.88;78.81;77.08;74.63;73.7;72.69;73.14;71.16;;;;;;;;;;;;;;;;;;;;;
