Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Reporting Type,Type of renewable technology,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),8,Albania,G,SOLAR,W_PER_CAPITA,0,0.03171,0.06403,0.06466,0.0653,0.06595,0.06659,0.0672,0.06776,0.10237,0.1373,0.19444,0.23477,0.26256,0.30304,0.36427,0.34709,0.3473,0.34758,4.87146,7.32512,8.05686,10.0622
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),8,Albania,G,WIND,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),12,Algeria,G,ALL,W_PER_CAPITA,8.98793,8.8651,8.74633,8.62868,8.5081,8.39283,7.46521,7.34467,6.6706,6.46664,7.04478,6.9123,6.77929,6.64726,6.8653,8.32245,14.08541,16.08293,16.37121,16.07283,15.3503,13.29387,13.34639
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),12,Algeria,G,BIOENERGY,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),12,Algeria,G,GEOTHERMAL,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),12,Algeria,G,HYDROPOWER,W_PER_CAPITA,8.98793,8.8651,8.74633,8.62868,8.5081,8.39283,7.46521,7.34467,6.6706,6.46664,6.34755,6.22819,6.10833,5.98938,5.87201,5.75574,5.64214,5.54252,5.43802,5.33891,4.80074,2.91774,2.87062
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),12,Algeria,G,MARINE,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),12,Algeria,G,SOLAR,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0.69723,0.68412,0.67095,0.65788,0.73013,2.30877,8.19042,10.29245,10.69468,10.49976,10.31942,10.14976,10.25307
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),12,Algeria,G,WIND,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26316,0.25795,0.25285,0.24795,0.23851,0.23416,0.23014,0.22636,0.2227
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),16,American Samoa,G,ALL,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0,0,44.99823,45.58921,46.26846,47.03317,77.70377,86.32715,106.55873,101.6462,104.13735,106.80582,108.64409
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),16,American Samoa,G,BIOENERGY,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),16,American Samoa,G,GEOTHERMAL,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),16,American Samoa,G,HYDROPOWER,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),16,American Samoa,G,MARINE,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),16,American Samoa,G,SOLAR,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0,0,44.99823,45.58921,46.26846,47.03317,77.70377,86.32715,106.55873,101.6462,104.13735,106.80582,108.64409
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),16,American Samoa,G,WIND,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),19,Americas,G,ALL,W_PER_CAPITA,346.63556,347.15884,349.57024,352.46051,354.9354,359.4988,365.2045,376.01853,385.90442,399.02409,413.9003,428.12238,449.90302,460.45268,480.70198,509.28948,545.06347,566.27576,590.28433,620.27237,656.87108,704.16566,746.83453
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),19,Americas,G,BIOENERGY,W_PER_CAPITA,14.73923,16.95823,17.0307,17.25965,18.00513,18.88987,19.15462,20.96062,22.15764,23.18864,25.27778,27.10468,28.9781,32.07554,33.35757,35.12584,36.24926,36.53931,36.36197,36.2873,36.30401,36.25201,36.92651
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),19,Americas,G,GEOTHERMAL,W_PER_CAPITA,4.84146,4.0924,4.10465,4.05568,4.02554,4.15044,4.09189,4.06534,4.04585,4.16868,4.07041,3.95271,4.26514,4.25369,4.12566,4.14799,4.09988,4.11313,4.06264,4.21065,4.19926,4.22188,4.27905
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),19,Americas,G,HYDROPOWER,W_PER_CAPITA,323.19606,320.43812,322.09523,322.80174,323.86416,324.5577,325.85908,328.4626,327.59183,326.96482,332.05865,333.19986,332.46007,332.03449,335.24145,340.32444,350.00549,351.16279,354.16914,356.87149,354.95858,354.60368,355.02975
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),19,Americas,G,MARINE,W_PER_CAPITA,0.02393,0.02363,0.02334,0.02307,0.0228,0.02255,0.0223,0.02205,0.02182,0.02159,0.02137,0.02115,0.02104,0.02093,0.02078,0.02039,0.02024,0.02005,0.01984,0.01968,0.01955,0.01944,0.02001
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),19,Americas,G,SOLAR,W_PER_CAPITA,0.74118,0.74513,0.79186,0.83173,0.90629,1.06256,1.28957,1.66847,1.86489,2.45514,4.03131,6.87364,10.27514,15.57119,21.4625,29.46627,41.84693,53.00307,64.45034,79.28707,100.17398,128.43534,158.58564
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),19,Americas,G,WIND,W_PER_CAPITA,3.09369,4.90133,5.52447,7.48864,8.11147,10.81568,14.78704,20.83945,30.2224,42.22522,48.44077,56.97034,73.90352,76.49684,86.49404,100.20454,112.84167,121.4374,131.22041,143.59618,161.2157,180.63331,191.99358
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),20,Andorra,G,ALL,W_PER_CAPITA,453.87839,442.34739,423.43576,405.91554,389.9497,375.8174,436.29474,447.75356,670.56735,690.57033,713.09722,722.71742,718.17836,714.616,714.67866,713.99102,706.42404,697.33332,694.41297,694.09114,696.06178,700.35681,693.42554
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),20,Andorra,G,BIOENERGY,W_PER_CAPITA,0,0,0,0,0,0,62.32782,63.96479,65.7419,67.70297,69.91149,70.85465,70.40964,70.06039,69.81193,69.6903,68.92749,67.71673,66.65511,65.49389,64.35006,63.26391,62.6378
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),20,Andorra,G,GEOTHERMAL,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),20,Andorra,G,HYDROPOWER,W_PER_CAPITA,453.87839,442.34739,423.43576,405.91554,389.9497,375.8174,373.96692,383.78876,604.82546,622.86736,643.18573,651.86277,647.76872,644.55561,642.26973,641.15073,634.13289,622.99389,613.22704,602.54378,592.02059,582.02799,576.26779
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),20,Andorra,G,MARINE,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),20,Andorra,G,SOLAR,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.597,3.15,3.36366,6.6227,14.53081,26.05347,39.69112,55.06491,54.51994
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),20,Andorra,G,WIND,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),24,Angola,G,ALL,W_PER_CAPITA,14.36978,13.91121,13.45491,13.0034,26.40113,25.47838,24.57944,36.13536,36.30815,34.99158,33.70882,32.46529,34.66646,36.45603,37.61804,36.28147,60.08569,80.92784,99.53244,106.56194,113.12711,109.60355,114.24141
12,12.a,12.a.1,EG_EGY_RNEW,Installed renewable electricity-generating capacity (watts per capita),24,Angola,G,BIOENERGY,W_PER_CAPITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87995,1.81316,1.74929,1.68826,1.63077,1.57633,1.52564,1.4781,1.43303
