Country,Continent,ISO_Code,Level,GDLCODE,Region,"1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Nigeria","Africa","NGA","Subnat","NGAr113","Kwara",0.586,0.580,0.568,0.557,0.541,0.526,0.542,0.556,0.583,0.606,0.631,0.619,0.606,0.592,0.580,0.567,0.574,0.571,0.571
"Nigeria","Africa","NGA","Subnat","NGAr114","Lagos",0.608,0.619,0.626,0.634,0.636,0.640,0.634,0.626,0.634,0.638,0.643,0.651,0.656,0.662,0.669,0.676,0.685,0.682,0.681
"Nigeria","Africa","NGA","Subnat","NGAr135","Nassarawa",0.436,0.454,0.467,0.480,0.489,0.498,0.500,0.501,0.513,0.521,0.531,0.541,0.548,0.555,0.563,0.571,0.579,0.576,0.575
"Nigeria","Africa","NGA","Subnat","NGAr115","Niger",0.430,0.434,0.432,0.430,0.424,0.419,0.430,0.439,0.459,0.476,0.494,0.493,0.490,0.486,0.484,0.481,0.487,0.485,0.484
"Nigeria","Africa","NGA","Subnat","NGAr116","Ogun",0.508,0.516,0.520,0.525,0.524,0.525,0.529,0.532,0.547,0.558,0.571,0.592,0.609,0.628,0.647,0.666,0.674,0.671,0.671
"Nigeria","Africa","NGA","Subnat","NGAr117","Ondo",0.521,0.536,0.546,0.556,0.561,0.567,0.566,0.563,0.574,0.580,0.587,0.592,0.595,0.598,0.602,0.606,0.613,0.611,0.610
"Nigeria","Africa","NGA","Subnat","NGAr128","Osun",0.491,0.520,0.543,0.567,0.585,0.604,0.606,0.605,0.619,0.629,0.641,0.636,0.628,0.622,0.616,0.610,0.618,0.615,0.614
"Nigeria","Africa","NGA","Subnat","NGAr118","Oyo",0.565,0.568,0.566,0.565,0.558,0.552,0.553,0.552,0.565,0.574,0.584,0.594,0.601,0.609,0.618,0.627,0.635,0.632,0.632
"Nigeria","Africa","NGA","Subnat","NGAr119","Plateau",0.495,0.502,0.504,0.506,0.503,0.501,0.502,0.501,0.512,0.518,0.526,0.534,0.540,0.546,0.553,0.560,0.567,0.565,0.564
"Nigeria","Africa","NGA","Subnat","NGAr120","Rivers",0.531,0.542,0.548,0.555,0.557,0.560,0.566,0.570,0.588,0.602,0.618,0.624,0.627,0.632,0.638,0.643,0.651,0.649,0.648
"Nigeria","Africa","NGA","Subnat","NGAr121","Sokoto",0.240,0.262,0.280,0.297,0.309,0.322,0.324,0.325,0.333,0.339,0.346,0.344,0.342,0.339,0.336,0.334,0.338,0.336,0.336
"Nigeria","Africa","NGA","Subnat","NGAr129","Taraba",0.353,0.375,0.392,0.409,0.421,0.432,0.435,0.435,0.446,0.454,0.462,0.471,0.477,0.483,0.490,0.498,0.504,0.502,0.501
"Nigeria","Africa","NGA","Subnat","NGAr130","Yobe",0.402,0.393,0.380,0.366,0.348,0.329,0.322,0.313,0.310,0.304,0.296,0.312,0.326,0.338,0.350,0.361,0.366,0.364,0.363
"Nigeria","Africa","NGA","Subnat","NGAr136","Zamfora",0.361,0.358,0.351,0.343,0.331,0.319,0.322,0.324,0.333,0.339,0.346,0.360,0.373,0.386,0.400,0.413,0.418,0.416,0.416
